query,name,site,phone,phone.phones_enricher.carrier_type,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,h3,rating,reviews,reviews_link,photos_count,working_hours,logo,verified,place_id,email_1,email_1.emails_validator.status,email_1.emails_validator.status_details,email_1_full_name,facebook,instagram
"hvac, 36868, Phenix City, AL, US",Hugh's Heating & Air,https://hughsheatingandair.com/,+1 334-291-7746,landline,"3617 HIGHWAY 80 W, Phenix City, AL 36869",None,3617 HIGHWAY 80 W,Phenix City,36869,AL,Alabama,United States of America,US,32.4557267,-85.1964007,8944ee44327ffff,4.1,14,"https://search.google.com/local/reviews?placeid=ChIJg0y8rELOjIgRvELbIesEtOc&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",6,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh6.googleusercontent.com/-gSwGbj2Cn6w/AAAAAAAAAAI/AAAAAAAAAAA/jSgBflQFOyk/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJg0y8rELOjIgRvELbIesEtOc,info@hughsheatingandair.com,INVALID,Cannot validate,,https://www.facebook.com/hughsHeatingAndAir/,
"hvac, 36868, Phenix City, AL, US",Thompson's Heating & Air LLC,,+1 706-981-5811,landline,,,,,,,,,,32.5511636,-84.9111184,8944c5b0d47ffff,5,14,"https://search.google.com/local/reviews?placeid=ChIJiVaAM9bEjIgRBTvfRneyuGI&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh6.googleusercontent.com/-XkKBIvD112w/AAAAAAAAAAI/AAAAAAAAAAA/HtXfylDD2tI/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJiVaAM9bEjIgRBTvfRneyuGI,,,,,,
"hvac, 36868, Phenix City, AL, US",ProHVAC Heating & Cooling,https://www.prohvacco.com/,+1 334-384-9398,landline,"4243 Lee Road 248, Phenix City, AL 36867",None,4243 Lee Road 248,Phenix City,36867,Alabama,Alabama,United States of America,US,32.527297,-85.0343444,8944ee4ca77ffff,5,17,"https://search.google.com/local/reviews?placeid=ChIJ6SgxWn3MnE4RTo_idegMmYc&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",12,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh3.googleusercontent.com/-9MYSjZ-SNMY/AAAAAAAAAAI/AAAAAAAAAAA/UWUhtKccRb4/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJ6SgxWn3MnE4RTo_idegMmYc,,,,,,
"hvac, 36868, Phenix City, AL, US",Underwood Heating and Air conditioning,https://www.underwoodheatingandair.com/,+1 334-846-0550,landline,,,,,,,,,,32.337566,-85.333565,8944ee0b03bffff,4.9,35,"https://search.google.com/local/reviews?placeid=ChIJd3b1r1WfPE8R3KMqXAdvdwY&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",37,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh5.googleusercontent.com/-LZJvxr1Eypg/AAAAAAAAAAI/AAAAAAAAAAA/QnuZCr0RHyY/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJd3b1r1WfPE8R3KMqXAdvdwY,joseph.k.underwood80@gmail.com,RECEIVING,Verified,,,
"hvac, 36868, Phenix City, AL, US",Morris Service Co,http://morriscoolair.com/,+1 334-520-9931,mobile,,,,,,,,,,32.471542,-85.182209,8944ee45d0fffff,5,57,"https://search.google.com/local/reviews?placeid=ChIJFbhWGclmH6sRBfinvisiIIk&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",16,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh6.googleusercontent.com/-cpGbBsovA_Y/AAAAAAAAAAI/AAAAAAAAAAA/HCx0V6xrLuM/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJFbhWGclmH6sRBfinvisiIIk,team@latofonts.com,RECEIVING,Catch All,,,
"hvac, 36868, Phenix City, AL, US","Martin Heating & Air Conditioning, LLC",http://www.martinheatingandaircompany.com/,+1 706-505-3316,mobile,"19 Walston Rd, Phenix City, AL 36870",None,19 Walston Rd,Phenix City,36870,Alabama,Alabama,United States of America,US,32.4566754,-85.1989258,8944ee44e53ffff,5,17,"https://search.google.com/local/reviews?placeid=ChIJm5T8nIDDjIgRTEX_dBoAsSE&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",9,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Closed""}",https://lh5.googleusercontent.com/-OMWE21Iu-XQ/AAAAAAAAAAI/AAAAAAAAAAA/RrYLDc_F6cA/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJm5T8nIDDjIgRTEX_dBoAsSE,tbmartin6994@gmail.com,RECEIVING,SMTP validated,,https://www.facebook.com/people/Martin-Heating-Air/100070152888260/,
"hvac, 36868, Phenix City, AL, US",Global Tech Energy Company LLC,,+1 334-297-0672,landline,"home, 1707 12th Pl S, Phenix City, AL 36869",None,"home, 1707 12th Pl S",Phenix City,36869,Alabama,Alabama,United States of America,US,32.4279161,-85.0172481,8944ee4f107ffff,4.5,2,"https://search.google.com/local/reviews?placeid=ChIJj37ik3fTjIgR709ug_mWh9w&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",5,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh6.googleusercontent.com/-n0Zl6w-I8IM/AAAAAAAAAAI/AAAAAAAAAAA/ZxJV1LodoA4/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJj37ik3fTjIgR709ug_mWh9w,globaltechhc@gmail.com,INVALID,Cannot validate,,https://www.facebook.com/people/Global-Tech-Energy-CompanyLLC/100057210469051/?locale=en_GB,
"hvac, 36868, Phenix City, AL, US","Lewis Heating, Air Conditioning, & Refrigeration",http://www.lewishvacr.com/,+1 706-325-1956,mobile,,,,,,,,,,32.626987,-85.273639,8944ee63503ffff,5,6,"https://search.google.com/local/reviews?placeid=ChIJ_2ieiM4OdqIR8dar8nJxSCA&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",3,,https://lh3.googleusercontent.com/-OqrBa94BJiE/AAAAAAAAAAI/AAAAAAAAAAA/ZBg0FZiNFwo/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJ_2ieiM4OdqIR8dar8nJxSCA,zlewishvacr@gmail.com,RECEIVING,SMTP validated,,https://www.facebook.com/ZLewisHVACR,
"hvac, 36868, Phenix City, AL, US",Smith Mechanical Heating & Air,https://smithmechanicalair.com/,+1 334-614-9035,mobile,"27 Little Lake Rd, Phenix City, AL 36869",None,27 Little Lake Rd,Phenix City,36869,Alabama,Alabama,United States of America,US,32.4418304,-85.1911375,8944ee44313ffff,4.9,41,"https://search.google.com/local/reviews?placeid=ChIJJfl9d4DdjIgR_Y2g2bf-X5w&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",5,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh3.googleusercontent.com/-rQn9y2CrZNk/AAAAAAAAAAI/AAAAAAAAAAA/4xLlq2bepI0/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJJfl9d4DdjIgR_Y2g2bf-X5w,billy.smith.2010@hotmail.com,RECEIVING,SMTP validated,,https://www.facebook.com/SmithMechanicalHeatingAir/,
"hvac, 36868, Phenix City, AL, US",Hugh's Heating & Air,https://www.hughsheatingandair.com/,+1 334-291-7746,landline,"3525 14th St, Phenix City, AL 36869",None,3525 14th St,Phenix City,36869,Alabama,Alabama,United States of America,US,32.4713618,-85.0454636,8944ee4c1d7ffff,4.1,14,"https://search.google.com/local/reviews?placeid=ChIJq6ra9ELOjIgRTEc0iMYjMxg&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",1,,https://lh3.googleusercontent.com/-iGHhnEmWKwo/AAAAAAAAAAI/AAAAAAAAAAA/TNTGmwj7lI4/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJq6ra9ELOjIgRTEc0iMYjMxg,info@hughsheatingandair.com,INVALID,Cannot validate,,https://www.facebook.com/hughsHeatingAndAir/,
